bart,bert,deberta:,electra,roberta,xlnet,flesch_reading_ease,smog_index,flesch_kincaid_grade,coleman_liau_index,automated_readability_index,dale_chall_readability_score,difficult_words,linsear_write_formula,gunning_fog,text_standard_cont,text_standard_cat,mean_parse_tree_depth,max_parse_tree_depth,mean_ents_per_sentence,total_ents,total_chars,total_words,chars_per_word,total_sentences,words_per_sentence,nonstop_word_count,nonstop_char_count,nonstop_token_proportion,adj,adp,adv,aux,conj,cconj,det,intj,noun,num,part,pron,propn,punct,sconj,sym,verb,x,space,mean_adj,mean_adp,mean_adv,mean_aux,mean_conj,mean_cconj,mean_det,mean_intj,mean_noun,mean_num,mean_part,mean_pron,mean_propn,mean_punct,mean_sconj,mean_sym,mean_verb,mean_x,mean_space
0.036513057,-0.24196239,-0.211833,-0.36145258,-0.34899005,-0.32553247,80.11,8.6,6.2,7.65,7.6,6.64,25,9.0,8.37,9.0,8,1.1207729468599035,7,0.6363636363636364,7,992,179,5.5418994413407825,11,16.272727272727273,1.4848484848484849,8.803030303030303,0.4803921568627451,10,20,6,15,0,11,34,0,45,4,3,4,5,27,2,0,22,0,5,0.83,1.67,0.5,1.25,0.0,0.92,2.83,0.0,3.83,0.33,0.25,0.33,0.42,1.33,0.17,0.0,1.75,0.0,0.83
-0.5833413,-0.20698969,-0.2890632,-0.24228327,-0.31813887,-0.3245038,71.24,8.8,7.5,6.9,7.8,6.06,17,8.5,8.65,9.0,8,0.8053097345132744,8,0.25,3,937,169,5.544378698224852,17,9.941176470588236,1.7462686567164178,8.82089552238806,0.5246636771300448,13,13,20,11,0,7,15,3,22,0,7,24,5,51,1,0,31,0,5,1.08,1.08,1.67,0.92,0.0,0.58,1.25,0.25,1.83,0.0,0.58,2.0,0.42,3.58,0.08,0.0,2.58,0.0,0.92
-0.40736547,-0.61804044,-0.652403,-0.4342608,-0.549659,-0.83236086,75.54,10.1,7.9,6.73,9.3,6.28,17,14.75,10.54,7.0,6,0.8457943925233645,8,2.125,17,908,166,5.469879518072289,12,13.833333333333334,1.6507936507936507,8.571428571428571,0.5,7,15,18,12,0,10,19,1,20,1,4,17,21,42,3,0,24,0,4,0.58,1.25,1.5,1.0,0.0,0.83,1.58,0.08,1.67,0.08,0.33,1.42,1.75,2.67,0.25,0.0,2.0,0.0,0.83
-1.1717455,-1.1464151,-1.0663458,-1.3360257,-1.0437214,-1.1762533,71.41,6.7,11.6,8.08,15.5,6.62,14,16.666666666666668,13.84,7.0,6,1.0904522613065326,9,1.6,8,909,164,5.5426829268292686,5,32.8,1.5737704918032787,8.98360655737705,0.4948453608247423,22,20,5,2,0,15,25,0,41,3,1,7,4,33,4,0,18,0,1,3.67,3.33,0.83,0.33,0.0,2.5,4.17,0.0,6.83,0.5,0.17,1.17,0.67,4.67,0.67,0.0,3.0,0.0,0.67
0.5082742,0.31707814,0.3729457,0.033448674,0.24406277,0.35598484,83.12,5.7,9.2,4.25,10.8,1.6,1,12.75,12.08,6.0,5,0.9395604395604396,7,3.0,15,723,147,4.918367346938775,5,29.4,1.48,7.66,0.4228571428571429,27,15,2,7,0,10,33,0,16,2,2,7,25,32,2,0,3,0,0,4.5,2.5,0.33,1.17,0.0,1.67,5.5,0.0,2.67,0.33,0.33,1.17,4.17,4.5,0.33,0.0,0.5,0.0,0.67
-0.8723902,-1.0562825,-1.1479653,-0.97300506,-0.87686735,-1.0604466,60.79,12.7,11.5,9.06,13.6,7.5,26,15.25,13.58,14.0,13,1.2780748663101604,10,2.0,12,919,163,5.638036809815951,7,23.285714285714285,1.6896551724137931,10.172413793103448,0.5212765957446809,10,25,10,7,0,9,19,0,31,2,3,6,14,24,6,0,22,0,2,1.25,3.12,1.25,0.88,0.0,1.12,2.38,0.0,3.88,0.25,0.38,0.75,1.75,2.12,0.75,0.0,2.75,0.0,0.75
-1.3840312,-1.7314761,-1.6227217,-1.7168105,-1.7296393,-1.4719781,66.17,11.7,9.5,10.21,12.1,7.34,29,12.2,11.27,12.0,11,1.2690355329949239,9,3.0,24,1024,173,5.91907514450867,9,19.22222222222222,1.6206896551724137,10.706896551724139,0.48704663212435234,17,25,8,14,0,8,20,0,29,1,3,8,27,21,2,0,14,0,2,1.7,2.5,0.8,1.4,0.0,0.7,2.1,0.0,2.9,0.1,0.3,0.8,2.7,1.3,0.2,0.0,1.4,0.0,0.8
-1.3132267,-0.88797325,-1.053794,-0.9016881,-0.9484076,-1.1013201,71.78,9.6,9.4,7.72,11.2,6.5,18,27.5,11.27,10.0,9,1.2989690721649485,7,2.142857142857143,15,927,172,5.3895348837209305,7,24.571428571428573,1.6,9.45,0.5079365079365079,13,29,10,8,0,3,32,0,38,6,4,5,6,19,6,0,16,0,2,1.5,3.62,1.25,1.0,0.0,0.38,4.0,0.0,4.75,0.75,0.5,0.62,0.75,1.5,0.75,0.0,2.12,0.0,0.75
-0.13231316,-0.32317433,-0.4601736,-0.34970808,-0.37536523,-0.50727314,76.15,7.2,7.7,8.01,9.8,6.39,18,13.0,8.65,8.0,7,0.9378238341968912,7,1.0,8,903,163,5.539877300613497,11,14.818181818181818,1.8421052631578947,10.035087719298245,0.5412371134020618,11,18,6,6,0,6,24,1,40,1,2,8,7,29,6,0,29,0,3,1.0,1.64,0.55,0.55,0.0,0.55,2.18,0.09,3.64,0.09,0.18,0.73,0.64,1.73,0.55,0.0,2.64,0.0,0.82
-1.0757316,-1.4145473,-1.3054082,-1.1664875,-1.2342365,-1.1505787,72.5,8.1,9.1,7.61,10.7,6.8,24,10.6,10.64,11.0,10,1.4722222222222223,14,0.375,3,1026,192,5.34375,8,24.0,1.537313432835821,9.0,0.4835680751173709,16,19,10,10,0,11,30,0,32,2,6,18,2,23,7,0,31,0,1,1.89,2.11,1.0,1.11,0.0,1.22,3.33,0.0,3.56,0.22,0.67,2.0,0.22,1.67,0.78,0.0,3.44,0.0,0.78
